Year,Gender,Degrees Conferred
1974-75,Male,877
1975-76,Male,816
1976-77,Male,839
1977-78,Male,769
1978-79,Male,736
1979-80,Male,710
1980-81,Male,723
1981-82,Male,709
1982-83,Male,748
1983-84,Male,766
1984-85,Male,770
1985-86,Male,786
1986-87,Male,795
1987-88,Male,811
1988-89,Male,870
1989-90,Male,815
1990-91,Male,804
1991-92,Male,845
1992-93,Male,878
1993-94,Male,776
1994-95,Male,767
1995-96,Male,741
1996-97,Male,725
1997-98,Male,702
1998-99,Male,704
1999-00,Male,701
2000-01,Male,664
2001-02,Male,707
2002-03,Male,795
2003-04,Male,827
2004-05,Male,831
2005-06,Male,871
2006-07,Male,851
2007-08,Male,899
2008-09,Male,968
2009-10,Male,985
2010-11,Male,971
2011-12,Male,1018
2012-13,Male,1057
2013-14,Male,1057
2014-15,Male,1107
2015-16,Male,1052
2016-17,Male,1062
2017-18,Male,1151
2018-19,Male,1117
2019-20,Male,929
2020-21,Male,878
1974-75,Female,765
1975-76,Female,830
1976-77,Female,767
1977-78,Female,809
1978-79,Female,763
1979-80,Female,785
1980-81,Female,900
1981-82,Female,854
1982-83,Female,932
1983-84,Female,960
1984-85,Female,951
1985-86,Female,986
1986-87,Female,1081
1987-88,Female,1030
1988-89,Female,1140
1989-90,Female,1200
1990-91,Female,1088
1991-92,Female,1222
1992-93,Female,1262
1993-94,Female,1193
1994-95,Female,1249
1995-96,Female,1188
1996-97,Female,1177
1997-98,Female,1146
1998-99,Female,1109
1999-00,Female,1124
2000-01,Female,1125
2001-02,Female,1180
2002-03,Female,1292
2003-04,Female,1402
2004-05,Female,1285
2005-06,Female,1429
2006-07,Female,1496
2007-08,Female,1455
2008-09,Female,1478
2009-10,Female,1502
2010-11,Female,1501
2011-12,Female,1504
2012-13,Female,1585
2013-14,Female,1557
2014-15,Female,1623
2015-16,Female,1487
2016-17,Female,1615
2017-18,Female,1753
2018-19,Female,1775
2019-20,Female,1605
2020-21,Female,1630
